iso3c,year,Ratio.RMC.to.market.XR,country,military_spending,type,military_spending_PPP,change_nominal,change_nominal_percent,change_PPP,change_PPP_percent,nato
NER,1949,NA,Niger,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
NGA,1949,NA,Nigeria,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
NGA,1949,NA,Nigeria,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
NIC,1949,NA,Nicaragua,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
NIC,1949,NA,Nicaragua,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
NLD,1949,NA,Netherlands,231.34300386071445,Current USD (m),NA,NA,NA,NA,NA,TRUE
NLD,1949,NA,Netherlands,3939.087554337097,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
NOR,1949,NA,Norway,67.17745742401685,Current USD (m),NA,NA,NA,NA,NA,TRUE
NOR,1949,NA,Norway,1033.666798424626,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
NPL,1949,NA,Nepal,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
NPL,1949,NA,Nepal,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
NZL,1949,NA,New Zealand,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
NZL,1949,NA,New Zealand,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
OMN,1949,NA,Oman,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
OMN,1949,NA,Oman,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
PAK,1949,NA,Pakistan,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
PAK,1949,NA,Pakistan,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
PAN,1949,NA,Panama,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
PAN,1949,NA,Panama,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
PER,1949,NA,Peru,23.902768399729908,Current USD (m),NA,NA,NA,NA,NA,FALSE
PER,1949,NA,Peru,743.3529340743438,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
PHL,1949,NA,Philippines,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
PHL,1949,NA,Philippines,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
PNG,1949,NA,Papua New Guinea,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
PNG,1949,NA,Papua New Guinea,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
POL,1949,NA,Poland,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
POL,1949,NA,Poland,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
PRK,1949,NA,"Korea, North",NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
PRK,1949,NA,"Korea, North",NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
PRT,1949,NA,Portugal,41.11442773568697,Current USD (m),NA,NA,NA,NA,NA,TRUE
PRT,1949,NA,Portugal,616.5262150264065,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
PRY,1949,NA,Paraguay,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
PRY,1949,NA,Paraguay,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
QAT,1949,NA,Qatar,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
QAT,1949,NA,Qatar,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
ROU,1949,NA,Romania,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
ROU,1949,NA,Romania,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
RUS,1949,NA,Russia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
RUS,1949,NA,USSR,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
RUS,1949,NA,Russia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
RUS,1949,NA,USSR,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
RWA,1949,NA,Rwanda,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
RWA,1949,NA,Rwanda,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
SAU,1949,NA,Saudi Arabia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
SAU,1949,NA,Saudi Arabia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
SDN,1949,NA,Sudan,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
SDN,1949,NA,Sudan,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
SEN,1949,NA,Senegal,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
SEN,1949,NA,Senegal,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
SGP,1949,NA,Singapore,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
SGP,1949,NA,Singapore,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
SLE,1949,NA,Sierra Leone,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
SLE,1949,NA,Sierra Leone,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
SLV,1949,NA,El Salvador,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
SLV,1949,NA,El Salvador,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
SOM,1949,NA,Somalia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
